scientific_name,Order,Axial_length_mm,transverse_diameter_mm,brain_vol_ml,body_mass_g,habitat_openness,migration,food_type,foraging_habitat,activity_pattern
Abroscopus_albogularis,Passeriformes,5,6.3,0.32,4.84,De,Se,An,In,D
Acanthagenys_rufogularis,Passeriformes,9,10.55,1.16,47.8,So,Se,Om,In,D
Acanthisitta_chloris,Passeriformes,5.85,6.64,0.33,6.91,De,Se,An,In,D
Acanthiza_chrysorrhoa,Passeriformes,5.5,6.65,0.43,9.29,So,Se,An,Te,D
Acanthiza_pusilla,Passeriformes,6.4,7.35,0.45,7.62,So,Se,An,In,D
Acanthorhynchus_superciliosus,Passeriformes,4.8,6.3,0.79,9.72,So,Se,Pl,In,D
Acanthorhynchus_tenuirostris,Passeriformes,5.9,7.2,0.48,10.44,So,Se,Om,In,D
Accipiter_badius,Accipitriformes,15.4,NA,2.83,131.15,So,Mi,An,In,D
Accipiter_cooperii,Accipitriformes,18,NA,4.7,429.67,So,Mi,An,Ae,D
Accipiter_gentilis,Accipitriformes,22.3,NA,7.88,866.04,De,Pm,An,Ge,D
Accipiter_nisus,Accipitriformes,13.5,NA,2.85,220.79,De,Pm,An,In,D
Accipiter_novaehollandiae,Accipitriformes,17.8,NA,4.74,326.06,De,Se,An,In,D
Accipiter_striatus,Accipitriformes,13.4,NA,2.23,130.59,De,Mi,An,Ae,D
Accipiter_tachiro,Accipitriformes,16.8,NA,4.15,290.2,De,Se,An,Ae,D
Aceros_plicatus,Bucerotiformes,20.6,23.98,15.42,1703.76,De,Se,Pl,In,D
Aceros_undulatus,Bucerotiformes,20.8,24.4,18.25,2214.55,De,Se,Pl,In,D
Acridotheres_tristis,Passeriformes,10.7,12.85,2.48,116.43,Op,Pm,An,Te,D
Acrocephalus_schoenobaenus,Passeriformes,5.8,7.25,0.45,11.83,Op,Mi,An,In,D
Acrocephalus_scirpaceus,Passeriformes,6.3,7.65,0.46,12.3,Op,Mi,An,In,D
Acrocephalus_stentoreus,Passeriformes,6.9,8.7,0.84,24.2,Op,Pm,An,In,D
Acryllium_vulturinum,Galliformes,15.3,18,4.55,1330,So,Se,Pl,Te,D
Actitis_hypoleucos,Charadriiformes,7.4,NA,0.86,48,Op,Mi,An,Te,D
Actitis_macularius,Charadriiformes,7.3,NA,0.68,40.4,Op,Mi,An,Te,D
Actophilornis_africanus,Charadriiformes,10.4,NA,0.79,189.09,Op,Pm,An,Te,D
Aegithalos_caudatus,Passeriformes,6.3,6.95,0.43,8.6,So,Se,An,In,D
Aegithalos_concinnus,Passeriformes,4.9,6.28,0.37,6.1,De,Se,An,In,D
Aegithina_tiphia,Passeriformes,6.2,7.85,0.67,12,De,Se,An,In,D
Aegolius_acadicus,Strigiformes,15.65,NA,3.36,100.69,So,Mi,An,In,N
Aegolius_funereus,Strigiformes,17,NA,4.02,137.18,De,Pm,An,In,N
Aegotheles_cristatus,Caprimulgiformes,13.17,NA,1.42,42.78,So,Se,An,In,N
Aeronautes_saxatalis,Caprimulgiformes,9.1,11.45,0.67,32.1,De,Se,An,Ae,D
Aethopyga_nipalensis,Passeriformes,5.05,6.58,0.33,6.9,De,Se,Om,In,D
Agapornis_canus,Psittaciformes,5.5,7.2,1.15,30,So,Se,Pl,In,D
Agapornis_fischeri,Psittaciformes,7.55,8.85,1.95,48.3,Op,Se,Pl,In,D
Agelaius_phoeniceus,Passeriformes,7.14,7.53,1.69,50.78,Op,Mi,Pl,Ge,D
Ailuroedus_crassirostris,Passeriformes,13.3,17.45,4.01,205.32,De,Se,Pl,In,D
Alcedo_atthis,Coraciiformes,8.3,10.18,0.74,31.09,So,Se,An,In,D
Alcedo_azurea,Coraciiformes,8.8,10.85,0.98,34.9,So,Se,An,In,D
Alcedo_cristata,Coraciiformes,7.3,8.8,0.54,15.7,So,Se,An,In,D
Alcippe_nipalensis,Passeriformes,7.5,8.65,0.93,15.8,De,Se,Om,In,D
Alectoris_chukar,Galliformes,13.5,15.1,2.48,502.1,Op,Se,Pl,Te,D
Alectura_lathami,Galliformes,16,21.1,5.68,2333.06,De,Se,Pl,Te,D
Alethe_diademata,Passeriformes,9.6,10.95,1.04,31.54,De,Se,An,Ge,D
Alisterus_scapularis,Psittaciformes,12.4,14.3,4.48,232.26,De,Se,Pl,In,D
Alle_alle,Charadriiformes,10.49,NA,2.1,180.73,Op,Mi,An,Aq,D
Amadina_fasciata,Passeriformes,5.3,6.45,0.59,18,Op,Se,Pl,Te,D
Amalocichla_incerta,Passeriformes,8,11.35,1.1,32.7,De,Se,An,Te,D
Amandava_amandava,Passeriformes,4.4,5.5,0.38,8.97,So,Se,Pl,Ge,D
Amazilia_tzacatl,Caprimulgiformes,4.13,NA,0.22,4.79,De,Se,Pl,Ae,D
Amazona_albifrons,Psittaciformes,12.2,14.2,5.28,206,So,Se,Pl,In,D
Amazona_ochrocephala,Psittaciformes,15.3,17.65,8.64,476.94,So,Se,Pl,In,D
Amblycercus_holosericeus,Passeriformes,8.5,10.45,2.21,70.42,De,Se,An,In,D
Amblyornis_macgregoriae,Passeriformes,13.1,15.85,3.58,117.47,De,Se,Pl,In,D
Amblyornis_subalaris,Passeriformes,12.6,15.2,3.55,108.88,De,Se,Om,In,D
Amblyramphus_holosericeus,Passeriformes,8.3,9.7,2.33,56.76,So,Se,An,In,D
Amphispiza_bilineata,Passeriformes,6.5,7.65,0.68,13.5,So,Pm,Om,Ge,D
Anas_acuta,Anseriformes,9.99,NA,4.72,944.62,Op,Mi,Pl,Aq,D
Anas_crecca,Anseriformes,10.45,NA,2.7,341.89,Op,Pm,Pl,Aq,D
Anas_platyrhynchos,Anseriformes,13.2,NA,5.44,843.42,Op,Pm,Pl,Aq,D
Andigena_hypoglauca,Piciformes,16.3,19.4,4.65,312.83,De,Se,Pl,In,D
Anisognathus_somptuosus,Passeriformes,8.4,9.85,1.49,44.5,De,Se,Om,In,D
Anodorhynchus_hyacinthinus,Psittaciformes,16.8,19.8,24.73,1331,So,Se,Pl,In,D
Anorrhinus_galeritus,Bucerotiformes,21.8,23.85,9.6,1172,De,Se,Om,In,D
Anser_albifrons,Anseriformes,14.8,NA,9.09,2506.39,Op,Mi,Pl,Te,D
Anthracoceros_coronatus,Bucerotiformes,19.3,22.45,7.98,806.72,So,Se,Pl,In,D
Anthracothorax_dominicus,Caprimulgiformes,4.5,5.9,0.23,5.77,So,Se,Pl,Ae,D
Anthus_berthelotii,Passeriformes,7.3,8.75,0.5,15.86,So,Se,An,Te,D
Anthus_campestris,Passeriformes,7.8,9.4,0.46,23,Op,Mi,An,Te,D
Anthus_novaeseelandiae,Passeriformes,7.8,9.35,0.84,24.07,Op,Se,An,Te,D
Anthus_spinoletta,Passeriformes,6.3,8.25,0.75,23.9,Op,Mi,An,Te,D
Anthus_trivialis,Passeriformes,7.4,8.5,0.6,23.33,So,Mi,Om,Te,D
Anumbius_annumbi,Passeriformes,8.85,10.18,1.18,41.5,Op,Se,An,Ge,D
Apaloderma_narina,Trogoniformes,11.9,13.9,1.52,67.69,De,Se,An,In,D
Aphelocephala_nigricincta,Passeriformes,6.2,6.85,0.47,10.4,So,Se,An,Te,D
Aphelocoma_coerulescens,Passeriformes,11.5,14.05,2.85,77.12,So,Se,Om,In,D
Aphelocoma_ultramarina,Passeriformes,12.3,15.4,3.61,113.33,So,Se,Om,Ge,D
Aphrastura_spinicauda,Passeriformes,6.7,7.75,0.81,11.5,So,Se,An,In,D
Aplonis_atrifusca,Passeriformes,11,12.95,2.29,146,So,Se,Pl,In,D
Aplonis_panayensis,Passeriformes,9.4,11,1.39,56.2,De,Se,Pl,In,D
Aprosmictus_erythropterus,Psittaciformes,8.78,10.49,3.85,136,So,Se,Pl,In,D
Apteryx_australis,Struthioniformes,6.91,7.44,10.86,2320.51,De,Se,An,Te,N
Apteryx_owenii,Struthioniformes,7.3,7.4,7.3,1238.29,De,Se,An,Te,N
Apus_affinis,Caprimulgiformes,6.79,7.95,0.52,22.57,De,Mi,An,Ae,D
Apus_apus,Caprimulgiformes,9.8,11.75,0.67,37.6,De,Mi,An,Ae,D
Apus_pallidus,Caprimulgiformes,10,12.15,0.72,41.9,De,Mi,An,Ae,D
Aquila_chrysaetos,Accipitriformes,29.55,NA,17.19,4247.97,Op,Pm,An,Ae,D
Aquila_pomarina,Accipitriformes,26.8,NA,10.91,1359.41,De,Mi,An,Ge,D
Aquila_rapax,Accipitriformes,27.8,NA,13.31,2236.06,So,Mi,An,Ge,D
Ara_ararauna,Psittaciformes,15.8,19.05,18.08,1125,De,Se,Pl,In,D
Ara_militaris,Psittaciformes,16,19.25,18.83,1134,So,Se,Pl,In,D
Ara_severus,Psittaciformes,12,16.5,10.05,343,De,Se,Pl,In,D
Arachnothera_longirostra,Passeriformes,6,7.7,0.52,12.46,De,Se,Om,In,D
