X,species_code,scientific_name,common_name.x,group,order,family,Song_etal,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,VI,VI_scaled
1,acafly,Empidonax virescens,Acadian Flycatcher,landbird,Passeriformes,Tyrannidae,0,10,1,,12.6,0.848038299,7.769267084,1,2,3,4,7.5,0.048582995951417005
2,aldfly,Empidonax alnorum,Alder Flycatcher,landbird,Passeriformes,Tyrannidae,0,8,1,,12.7,0.85357696,6.148575017,1,1,2,5,6,0.03643724696356275
3,wooduc,Aix sponsa,Wood Duck,waterfowl,Anseriformes,Anatidae,0,7,4,,657.59,22.02140488,15.51365241,5,5,1,1,12,0.08502024291497975
4,ameavo,Recurvirostra americana,American Avocet,shorebird,Charadriiformes,Recurvirostridae,0,11,5,,304.48,11.68072599,9.210968905,3.5,3,4,3,65,0.5141700404858299
5,norpin,Anas acuta,Northern Pintail,waterfowl,Anseriformes,Anatidae,1,13,5,completely absent in FPV (Song et al. 2024),944.62,29.67447453,11.92746774,5,4,5,2,87.5,0.6963562753036437
6,amecro,Corvus brachyrhynchos,American Crow,landbird,Passeriformes,Corvidae,0,8,1,,448.76,16.07654403,9.19032702,4,3,1,3,3.5,0.016194331983805668
7,amegfi,Spinus tristis,American Goldfinch,landbird,Passeriformes,Fringillidae,0,8,1,,12.79,0.858555175,8.314409294,2,3,1,3,2.5,0.008097165991902834
8,amekes,Falco sparverius,American Kestrel,landbird,Falconiformes,Falconidae,0,10,1,,114.61,5.224314045,12.770207,3,4,3,2,7.5,0.048582995951417005
9,amepip,Anthus rubescens,American Pipit,landbird,Passeriformes,Motacillidae,0,9,2,hang out on shorelines but not as important for habitat as for other species.,20.68,1.275310722,9.178026175,1.888888889,3,3,3,14.666666667,0.10661268556275304
10,amered,Setophaga ruticilla,American Redstart,landbird,Passeriformes,Parulidae,0,9,1,,8.24,0.597759563,8.715143345,1,3,2,3,4,0.020242914979757085
11,amerob,Turdus migratorius,American Robin,landbird,Passeriformes,Turdidae,0,7,1,,78.5,3.82547029,10.6874045,3,3,1,3,3,0.012145748987854251
12,gnwtea,Anas crecca,Green-winged Teal,waterfowl,Anseriformes,Anatidae,0,9,4,,341.89,12.85033934,13.00470334,5,4,2,2,28,0.2145748987854251
13,amgplo,Pluvialis dominica,American Golden-Plover,shorebird,Charadriiformes,Charadriidae,0,15,5,Shorebirds strongly negatively affected in Song et al. 2024,151.47,6.572921009,8.764249745,3.222222222,3,5,3,77.777777775,0.6176338281376519
14,amtspa,Spizelloides arborea,American Tree Sparrow,landbird,Passeriformes,Passerellidae,0,12,1,,17.83,1.128712487,14.98974157,2,5,4,1,6,0.03643724696356275
15,mallar3,Anas platyrhynchos,Mallard,waterfowl,Anseriformes,Anatidae,1,7,1,Increased 1.88x (Song et al. 2024),843.42,27.0306179,12.79780377,5,4,1,2,3.5,0.016194331983805668
16,babwar,Setophaga castanea,Bay-breasted Warbler,landbird,Passeriformes,Parulidae,0,10,1,,11.8,0.803443199,7.642024308,1.470588235,2,3,4,8.2058823525,0.05429864253036437
17,baisan,Calidris bairdii,Baird's Sandpiper,shorebird,Charadriiformes,Scolopacidae,0,13,5,Shorebirds strongly negatively affected in Song et al. 2024,40.97,2.239368804,5.308150395,3.535714286,1,5,5,106.696428575,0.8517929439271255
18,baleag,Haliaeetus leucocephalus,Bald Eagle,landbird,Accipitriformes,Accipitridae,0,9,3,,4700.58,111.2435736,9.350928191,3.6,3,3,3,29.7,0.22834008097165992
19,balori,Icterus galbula,Baltimore Oriole,landbird,Passeriformes,Icteridae,0,11,1,,32.83,1.865988889,6.285223499,3,1,4,5,16,0.11740890688259109
20,banswa,Riparia riparia,Bank Swallow,landbird,Passeriformes,Hirundinidae,0,11,2,"""Presently breeds primarily in lowland areas along ocean coasts, rivers, streams, lakes, reservoirs, and wetlands (Cramp 1988, Turner and Rose 1989a, Am. Ornithol. Union American Ornithologists' Union 1998a). """,12.68,0.852469845,9.237974843,1,3,4,3,16,0.11740890688259109
21,ambduc,Anas rubripes,American Black Duck,waterfowl,Anseriformes,Anatidae,0,12,1,"Tolerant of vegetation, similar to mallard which increased in Song et al. 2024.",1240.96,37.15080448,22.00681137,5,5,4,1,12,0.08502024291497975
22,barswa,Hirundo rustica,Barn Swallow,landbird,Passeriformes,Hirundinidae,0,9,2,,17.91,1.13288131,14.15911666,1,5,2,1,4,0.020242914979757085
23,bawwar,Mniotilta varia,Black-and-white Warbler,landbird,Passeriformes,Parulidae,0,9,1,,10.9,0.752629254,10.56938024,1,3,2,3,4,0.020242914979757085
24,snogoo,Anser caerulescens,Snow Goose,waterfowl,Anseriformes,Anatidae,0,10,4,,2636.15,69.09192814,8.133619072,5,2,3,4,54,0.4251012145748988
25,belkin1,Megaceryle alcyon,Belted Kingfisher,landbird,Coraciiformes,Alcedinidae,0,10,3,,148,6.448667249,8.212581792,3,2,3,4,31.5,0.242914979757085
26,bicthr,Catharus bicknelli,Bicknell's Thrush,landbird,Passeriformes,Turdidae,0,17,1,,27.79,1.626680494,6.141142038,2.642857143,1,5,5,19.1071428575,0.1425679583603239
27,bkbcuc,Coccyzus erythropthalmus,Black-billed Cuckoo,landbird,Cuculiformes,Cuculidae,0,12,1,,50.9,2.677576693,6.102075697,2,1,4,5,14,0.10121457489878542
28,bkbplo,Pluvialis squatarola,Black-bellied Plover,shorebird,Charadriiformes,Charadriidae,0,13,5,Shorebirds strongly negatively affected in Song et al. 2024,250,9.930311132,12.01517312,4,4,5,2,75,0.5951417004048583
29,bkbwar,Setophaga fusca,Blackburnian Warbler,landbird,Passeriformes,Parulidae,0,10,1,,9.74,0.686023061,6.304667346,1.470588235,1,3,5,9.7058823525,0.06644439151821863
30,bkbwoo,Picoides arcticus,Black-backed Woodpecker,landbird,Piciformes,Picidae,0,8,1,,69.24,3.449798699,15.15790339,2.454545455,5,2,1,3.454545455,0.01582627898785425
31,bkcchi,Poecile atricapillus,Black-capped Chickadee,landbird,Passeriformes,Paridae,0,7,1,,10.8,0.746938491,11.66235718,2,4,1,2,2,0.004048582995951417
32,bkpwar,Setophaga striata,Blackpoll Warbler,landbird,Passeriformes,Parulidae,0,11,1,,11.84,0.805685359,8.20511157,1,2,4,4,10,0.06882591093117409
33,rosgoo,Anser rossii,Ross's Goose,waterfowl,Anseriformes,Anatidae,0,12,4,,1635.99,46.64519907,10.07747873,5,3,4,3,64,0.5060728744939271
34,sancra,Antigone canadensis,Sandhill Crane,waterbird,Gruiformes,Gruidae,0,8,3,,4296.22,103.3011103,7.345577432,5,2,2,4,27,0.20647773279352227
35,blkvul,Coragyps atratus,Black Vulture,landbird,Cathartiformes,Cathartidae,0,5,1,,1881.69,52.34182745,11.66384916,4,4,1,2,3,0.012145748987854251
36,blugrb1,Passerina caerulea,Blue Grosbeak,landbird,Passeriformes,Cardinalidae,0,7,1,,27.39,1.607374538,6.573013719,2,1,1,5,3.5,0.016194331983805668
37,blujay,Cyanocitta cristata,Blue Jay,landbird,Passeriformes,Corvidae,0,8,1,,88,4.202823103,11.69048943,3,4,1,2,2.5,0.008097165991902834
