"","X","species_code","scientific_name","common_name.x","group","order","family","CCS.max","habitat_score","habitat_comment","bodymass","predicted_defecation_rate","est_axial_length","wingloading_quantile"
"1",2,"brwhaw","Buteo platypterus","Broad-winged Hawk","landbird","Accipitriformes","Accipitridae",8,1,"",453.65,16.2206674347041,33.4537712794164,4
"2",3,"coohaw","Accipiter cooperii","Cooper's Hawk","landbird","Accipitriformes","Accipitridae",7,1,"",429.67,15.5112131074165,18.1351242264106,4
"3",4,"goleag","Aquila chrysaetos","Golden Eagle","landbird","Accipitriformes","Accipitridae",10,1,"Fishing rare",4247.97,102.344772952969,17.8790228778656,5
"4",6,"norhar2","Circus hudsonius","Northern Harrier","landbird","Accipitriformes","Accipitridae",11,1,"",392.98,14.411963775594,32.5784232997073,3
"5",7,"osprey","Pandion haliaetus","Osprey","landbird","Accipitriformes","Pandionidae",7,3,"",1483.2,43.0270520196512,15.9226492558413,4
"6",8,"reshaw","Buteo lineatus","Red-shouldered Hawk","landbird","Accipitriformes","Accipitridae",8,1,"",603.72,20.5247100802972,17.4659403861397,4
"7",9,"rethaw","Buteo jamaicensis","Red-tailed Hawk","landbird","Accipitriformes","Accipitridae",7,1,"",1101.16,33.6684061535229,24.731705571669,4
"8",10,"rolhaw","Buteo lagopus","Rough-legged Hawk","landbird","Accipitriformes","Accipitridae",9,1,"",949.76,29.8073803624767,19.5444799508693,3
"9",11,"shshaw","Accipiter striatus","Sharp-shinned Hawk","landbird","Accipitriformes","Accipitridae",9,1,"",130.59,5.81716403703013,22.8759751975911,2
"10",13,"ambduc","Anas rubripes","American Black Duck","waterfowl","Anseriformes","Anatidae",12,4,"Tolerant of vegetation but possibly high collision risk due to habitat use.",1240.96,37.1508044838062,22.0068113707697,5
"11",18,"brant","Branta bernicla","Brant","waterfowl","Anseriformes","Anatidae",13,4,"",1277.91,38.0593747294842,13.0885348696826,5
"12",19,"buffle","Bucephala albeola","Bufflehead","waterfowl","Anseriformes","Anatidae",8,4,"",397.46,14.5471270472349,17.73095333351,5
"13",20,"buwtea","Spatula discors","Blue-winged Teal","waterfowl","Anseriformes","Anatidae",8,4,"",359.44,13.391137655255,12.9051602655968,5
"14",22,"cangoo","Branta canadensis","Canada Goose","waterfowl","Anseriformes","Anatidae",6,4,"",2811.68,72.8587655879555,11.3288892463391,5
"15",25,"comgol","Bucephala clangula","Common Goldeneye","waterfowl","Anseriformes","Anatidae",9,4,"",918.56,28.9986543861109,11.9364696152749,5
"16",26,"commer","Mergus merganser","Common Merganser","waterfowl","Anseriformes","Anatidae",10,5,"",1451.02,42.256806847247,11.3316011582228,5
"17",28,"gadwal","Mareca strepera","Gadwall","waterfowl","Anseriformes","Anatidae",8,4,"",915.58,28.9211592880732,12.3525535134364,5
"18",29,"gnwtea","Anas crecca","Green-winged Teal","waterfowl","Anseriformes","Anatidae",9,4,"",341.89,12.8503393376781,13.0047033390337,5
"19",30,"gresca","Aythya marila","Greater Scaup","waterfowl","Anseriformes","Anatidae",10,4,"",1005.37,31.2373482883384,9.57792261446494,5
"20",31,"gwfgoo","Anser albifrons","Greater White-fronted Goose","waterfowl","Anseriformes","Anatidae",9,4,"",2506.39,66.2788555235783,9.32901194367214,5
"21",33,"lessca","Aythya affinis","Lesser Scaup","waterfowl","Anseriformes","Anatidae",9,4,"",819.45,26.3963927455193,15.9877210157671,5
"22",34,"lotduc","Clangula hyemalis","Long-tailed Duck","waterfowl","Anseriformes","Anatidae",13,4,"",871,27.7564401014498,15.9877210157671,5
"23",35,"mallar3","Anas platyrhynchos","Mallard","waterfowl","Anseriformes","Anatidae",7,4,"",843.42,27.0306179016566,12.7978037740126,5
"24",37,"mutswa","Cygnus olor","Mute Swan","waterfowl","Anseriformes","Anatidae",8,4,"",10682.04,218.702957262148,9.44922583613699,5
"25",38,"norpin","Anas acuta","Northern Pintail","waterfowl","Anseriformes","Anatidae",13,4,"",944.62,29.6744745311221,11.9274677411967,5
"26",39,"norsho","Spatula clypeata","Northern Shoveler","waterfowl","Anseriformes","Anatidae",7,4,"",612.56,20.7718816651977,13.444646397201,5
"27",40,"rebmer","Mergus serrator","Red-breasted Merganser","waterfowl","Anseriformes","Anatidae",9,5,"",1015.17,31.4878814106218,11.3358029724852,5
"28",42,"rinduc","Aythya collaris","Ring-necked Duck","waterfowl","Anseriformes","Anatidae",8,4,"",704.55,23.3084971677545,11.9173219517226,5
"29",44,"rudduc","Oxyura jamaicensis","Ruddy Duck","waterfowl","Anseriformes","Anatidae",8,5,"Needs space to take off",608.15,20.6486547475535,9.20751211329724,5
"30",48,"tunswa","Cygnus columbianus","Tundra Swan","waterfowl","Anseriformes","Anatidae",11,4,"",6377.96,143.025528283849,12.2129028459668,5
"31",50,"wooduc","Aix sponsa","Wood Duck","waterfowl","Anseriformes","Anatidae",7,4,"",657.59,22.0214048784866,15.5136524141863,5
"32",51,"chiswi","Chaetura pelagica","Chimney Swift","landbird","Apodiformes","Apodidae",13,1,"",23.6,1.42184787549222,10.7322789310166,2
"33",52,"rthhum","Archilochus colubris","Ruby-throated Hummingbird","landbird","Apodiformes","Trochilidae",8,1,"",3.09,0.266527257520165,11.5761124462253,2
"34",53,"chwwid","Antrostomus carolinensis","Chuck-will's-widow","landbird","Caprimulgiformes","Caprimulgidae",12,1,"",109,5.0127988196823,11.7625511064425,2
"35",54,"comnig","Chordeiles minor","Common Nighthawk","landbird","Caprimulgiformes","Caprimulgidae",11,1,"",79.3,3.85754621000381,11.6638491621312,2
"36",56,"blkvul","Coragyps atratus","Black Vulture","landbird","Cathartiformes","Cathartidae",5,1,"",1881.69,52.3418274511597,11.6638491621312,4
"37",57,"turvul","Cathartes aura","Turkey Vulture","landbird","Cathartiformes","Cathartidae",6,1,"",1518.24,43.8624069613581,22.6776156718872,4
"38",61,"bkbplo","Pluvialis squatarola","Black-bellied Plover","shorebird","Charadriiformes","Charadriidae",13,3,"",250,9.93031113219326,12.0151731226382,4
"39",62,"blkter","Chlidonias niger","Black Tern","waterbird","Charadriiformes","Laridae",12,3,"",65.3,3.2873106096805,10.7267340005716,1
"40",65,"calgul","Larus californicus","California Gull","waterbird","Charadriiformes","Laridae",12,3,"",683.39,22.7304748719344,12.2439678128045,4
"41",66,"caster1","Hydroprogne caspia","Caspian Tern","waterbird","Charadriiformes","Laridae",9,3,"",655,21.9499546012078,12.4310587774538,4
"42",67,"dunlin","Calidris alpina","Dunlin","shorebird","Charadriiformes","Scolopacidae",12,3,"",51.89,2.72039032288708,11.1270589675225,3
"43",68,"forter","Sterna forsteri","Forster's Tern","waterbird","Charadriiformes","Laridae",13,3,"",149,6.48452747902865,13.8737995306566,2
