,X,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS.max,habitat_score,habitat_comment,English,bodymass,mass_comments
1,19,baleag,Haliaeetus leucocephalus,Bald Eagle,Bald Eagle,landbird,Accipitriformes,Accipitridae,9,3,,Bald Eagle,4700.58,
2,54,brwhaw,Buteo platypterus,Broad-winged Hawk,Broad-winged Hawk,landbird,Accipitriformes,Accipitridae,8,1,,Broad-winged Hawk,453.65,
3,92,coohaw,Accipiter cooperii,Cooper's Hawk,Cooper's Hawk,landbird,Accipitriformes,Accipitridae,7,1,,Cooper's Hawk,429.67,
4,121,goleag,Aquila chrysaetos,Golden Eagle,Golden Eagle,landbird,Accipitriformes,Accipitridae,10,1,Fishing rare,Golden Eagle,4247.97,
5,176,miskit,Ictinia mississippiensis,Mississippi Kite,Mississippi Kite,landbird,Accipitriformes,Accipitridae,9,1,,Mississippi Kite,276.03,
6,186,norhar2,Circus hudsonius,Northern Harrier,Northern Harrier,landbird,Accipitriformes,Accipitridae,11,1,,NA,392.98,
7,198,osprey,Pandion haliaetus,Osprey,Osprey,landbird,Accipitriformes,Pandionidae,7,3,,Osprey,1483.2,
8,227,reshaw,Buteo lineatus,Red-shouldered Hawk,Red-shouldered Hawk,landbird,Accipitriformes,Accipitridae,8,1,,Red-shouldered Hawk,603.72,
9,228,rethaw,Buteo jamaicensis,Red-tailed Hawk,Red-tailed Hawk,landbird,Accipitriformes,Accipitridae,7,1,,Red-tailed Hawk,1101.16,
10,237,rolhaw,Buteo lagopus,Rough-legged Hawk,Rough-legged Hawk,landbird,Accipitriformes,Accipitridae,9,1,,Rough-legged Hawk,949.76,
11,257,shshaw,Accipiter striatus,Sharp-shinned Hawk,Sharp-shinned Hawk,landbird,Accipitriformes,Accipitridae,9,1,,Sharp-shinned Hawk,130.59,
12,274,swtkit,Elanoides forficatus,Swallow-tailed Kite,Swallow-tailed Kite,landbird,Accipitriformes,Accipitridae,10,1,,American Swallow-tailed Kite,416.24,
13,3,ambduc,Anas rubripes,American Black Duck,American Black Duck,waterfowl,Anseriformes,Anatidae,12,4,Tolerant of vegetation but possibly high collision risk due to habitat use.,American Black Duck,1240.96,
14,12,amewig,Mareca americana,American Wigeon,American Wigeon,waterfowl,Anseriformes,Anatidae,10,4,,NA,754.61,
15,22,bargol,Bucephala islandica,Barrow's Goldeneye,Barrow's Goldeneye,waterfowl,Anseriformes,Anatidae,13,5,"""Prefers open water without emergent or dense submerged vegetation.""",Barrow's Goldeneye,921.21,
16,25,bbwduc,Dendrocygna autumnalis,Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,waterfowl,Anseriformes,Anatidae,8,4,,Black-bellied Whistling-duck,755.3,
17,36,blksco2,Melanitta americana,Black Scoter,Black Scoter,waterfowl,Anseriformes,Anatidae,13,5,"""Feeds in open water; usually avoids dense aquatic vegetation which is rare in its breeding areas.""",NA,1049.98,
18,47,brant,Branta bernicla,Brant,Brant,waterfowl,Anseriformes,Anatidae,13,4,,Brent Goose,1277.91,
19,58,buffle,Bucephala albeola,Bufflehead,Bufflehead,waterfowl,Anseriformes,Anatidae,8,4,,Bufflehead,397.46,
20,61,buwtea,Spatula discors,Blue-winged Teal,Blue-winged Teal,waterfowl,Anseriformes,Anatidae,8,4,,NA,359.44,
21,63,cacgoo1,Branta hutchinsii,Cackling Goose,Cackling Goose,waterfowl,Anseriformes,Anatidae,10,4,,Cackling Goose,2811.68,
22,66,cangoo,Branta canadensis,Canada Goose,Canada Goose,waterfowl,Anseriformes,Anatidae,6,4,,Canada Goose,2811.68,
23,67,canvas,Aythya valisineria,Canvasback,Canvasback,waterfowl,Anseriformes,Anatidae,10,4,,Canvasback,1202,
24,79,cintea,Spatula cyanoptera,Cinnamon Teal,Cinnamon Teal,waterfowl,Anseriformes,Anatidae,12,4,,NA,377.45,
25,84,comgol,Bucephala clangula,Common Goldeneye,Common Goldeneye,waterfowl,Anseriformes,Anatidae,9,4,,Common Goldeneye,918.56,
26,87,commer,Mergus merganser,Common Merganser,Common Merganser,waterfowl,Anseriformes,Anatidae,10,5,,Common Merganser,1451.02,
27,114,fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck,Fulvous Whistling-Duck,waterfowl,Anseriformes,Anatidae,9,4,,Fulvous Whistling-duck,756.37,
28,115,gadwal,Mareca strepera,Gadwall,Gadwall,waterfowl,Anseriformes,Anatidae,8,4,,NA,915.58,
29,119,gnwtea,Anas crecca,Green-winged Teal,Green-winged Teal,waterfowl,Anseriformes,Anatidae,9,4,,Common Teal,341.89,
30,128,gresca,Aythya marila,Greater Scaup,Greater Scaup,waterfowl,Anseriformes,Anatidae,10,4,,Greater Scaup,1005.37,
31,134,gwfgoo,Anser albifrons,Greater White-fronted Goose,Greater White-fronted Goose,waterfowl,Anseriformes,Anatidae,9,4,,Greater White-fronted Goose,2506.39,
32,141,hoomer,Lophodytes cucullatus,Hooded Merganser,Hooded Merganser,waterfowl,Anseriformes,Anatidae,8,5,,Hooded Merganser,613.77,
33,160,lessca,Aythya affinis,Lesser Scaup,Lesser Scaup,waterfowl,Anseriformes,Anatidae,9,4,,Lesser Scaup,819.45,
34,169,lotduc,Clangula hyemalis,Long-tailed Duck,Long-tailed Duck,waterfowl,Anseriformes,Anatidae,13,4,,Long-tailed Duck,871,
35,172,mallar3,Anas platyrhynchos,Mallard,Mallard,waterfowl,Anseriformes,Anatidae,7,4,,Mallard,843.42,
36,177,motduc,Anas fulvigula,Mottled Duck,Mottled Duck,waterfowl,Anseriformes,Anatidae,17,4,,Mottled Duck,843.42,
37,180,mutswa,Cygnus olor,Mute Swan,Mute Swan,waterfowl,Anseriformes,Anatidae,8,4,,Mute Swan,10682.04,
38,189,norpin,Anas acuta,Northern Pintail,Northern Pintail,waterfowl,Anseriformes,Anatidae,13,4,,Northern Pintail,944.62,
39,190,norsho,Spatula clypeata,Northern Shoveler,Northern Shoveler,waterfowl,Anseriformes,Anatidae,7,4,,NA,612.56,
40,217,rebmer,Mergus serrator,Red-breasted Merganser,Red-breasted Merganser,waterfowl,Anseriformes,Anatidae,9,5,,Red-breasted Merganser,1015.17,
41,222,redhea,Aythya americana,Redhead,Redhead,waterfowl,Anseriformes,Anatidae,8,4,,Redhead,1075.69,
42,232,rinduc,Aythya collaris,Ring-necked Duck,Ring-necked Duck,waterfowl,Anseriformes,Anatidae,8,4,,Ring-necked Duck,704.55,
43,238,rosgoo,Anser rossii,Ross's Goose,Ross's Goose,waterfowl,Anseriformes,Anatidae,12,4,,NA,1635.99,
44,243,rudduc,Oxyura jamaicensis,Ruddy Duck,Ruddy Duck,waterfowl,Anseriformes,Anatidae,8,5,Needs space to take off,Ruddy Duck,608.15,
45,260,snogoo,Anser caerulescens,Snow Goose,Snow Goose,waterfowl,Anseriformes,Anatidae,10,4,,NA,2636.15,
46,270,sursco,Melanitta perspicillata,Surf Scoter,Surf Scoter,waterfowl,Anseriformes,Anatidae,11,4,,Surf Scoter,1096.33,
47,278,truswa,Cygnus buccinator,Trumpeter Swan,Trumpeter Swan,waterfowl,Anseriformes,Anatidae,11,4,,Trumpeter Swan,11071.13,
48,280,tunswa,Cygnus columbianus,Tundra Swan,Tundra Swan,waterfowl,Anseriformes,Anatidae,11,4,,Tundra Swan,6377.96,
49,298,whwsco2,Melanitta deglandi,White-winged Scoter,White-winged Scoter,waterfowl,Anseriformes,Anatidae,12,4,,NA,1800.17,
50,307,wooduc,Aix sponsa,Wood Duck,Wood Duck,waterfowl,Anseriformes,Anatidae,7,4,,Wood Duck,657.59,
51,76,chiswi,Chaetura pelagica,Chimney Swift,Chimney Swift,landbird,Apodiformes,Apodidae,13,1,,Chimney Swift,23.6,
52,241,rthhum,Archilochus colubris,Ruby-throated Hummingbird,Ruby-throated Hummingbird,landbird,Apodiformes,Trochilidae,8,1,,Ruby-throated Hummingbird,3.09,
53,78,chwwid,Antrostomus carolinensis,Chuck-will's-widow,Chuck-will's-widow,landbird,Caprimulgiformes,Caprimulgidae,12,1,,NA,109,
54,88,comnig,Chordeiles minor,Common Nighthawk,Common Nighthawk,landbird,Caprimulgiformes,Caprimulgidae,11,1,,Common Nighthawk,79.3,
55,104,easwpw1,Antrostomus vociferus,Eastern Whip-poor-will,Eastern Whip-poor-will,landbird,Caprimulgiformes,Caprimulgidae,14,1,,NA,53.3,
56,38,blkvul,Coragyps atratus,Black Vulture,Black Vulture,landbird,Cathartiformes,Cathartidae,5,1,,Black Vulture,1881.69,
57,281,turvul,Cathartes aura,Turkey Vulture,Turkey Vulture,landbird,Cathartiformes,Cathartidae,6,1,,Turkey Vulture,1518.24,
58,4,ameavo,Recurvirostra americana,American Avocet,American Avocet,shorebird,Charadriiformes,Recurvirostridae,11,3,,American Avocet,304.48,
59,13,amgplo,Pluvialis dominica,American Golden-Plover,American Golden-Plover,shorebird,Charadriiformes,Charadriidae,15,3,,American Golden Plover,151.47,
60,18,baisan,Calidris bairdii,Baird's Sandpiper,Baird's Sandpiper,shorebird,Charadriiformes,Scolopacidae,13,3,,Baird's Sandpiper,40.97,
61,31,bkbplo,Pluvialis squatarola,Black-bellied Plover,Black-bellied Plover,shorebird,Charadriiformes,Charadriidae,13,3,,Grey Plover,250,
62,37,blkter,Chlidonias niger,Black Tern,Black Tern,waterbird,Charadriiformes,Laridae,12,3,,Black Tern,65.3,
63,45,bongul,Chroicocephalus philadelphia,Bonaparte's Gull,Bonaparte's Gull,waterbird,Charadriiformes,Laridae,10,3,,NA,210.71,
64,57,bubsan,Calidris subruficollis,Buff-breasted Sandpiper,Buff-breasted Sandpiper,shorebird,Charadriiformes,Scolopacidae,15,3,,NA,62.1,
65,64,calgul,Larus californicus,California Gull,California Gull,waterbird,Charadriiformes,Laridae,12,3,,California Gull,683.39,
66,71,caster1,Hydroprogne caspia,Caspian Tern,Caspian Tern,waterbird,Charadriiformes,Laridae,9,3,,NA,655,
67,97,dunlin,Calidris alpina,Dunlin,Dunlin,shorebird,Charadriiformes,Scolopacidae,12,3,,Dunlin,51.89,
68,111,forter,Sterna forsteri,Forster's Tern,Forster's Tern,waterbird,Charadriiformes,Laridae,13,3,,Forster's Tern,149,
69,113,fragul,Leucophaeus pipixcan,Franklin's Gull,Franklin's Gull,waterbird,Charadriiformes,Laridae,11,3,,NA,280,
70,116,gbbgul,Larus marinus,Great Black-backed Gull,Great Black-backed Gull,waterbird,Charadriiformes,Laridae,15,3,,Great Black-backed Gull,1649.71,
71,117,glagul,Larus hyperboreus,Glaucous Gull,Glaucous Gull,waterbird,Charadriiformes,Laridae,13,3,,Glaucous Gull,1529.04,
72,129,greyel,Tringa melanoleuca,Greater Yellowlegs,Greater Yellowlegs,shorebird,Charadriiformes,Scolopacidae,14,3,,Greater Yellowlegs,161.74,
73,138,hergul,Larus argentatus,Herring Gull,Herring Gull,waterbird,Charadriiformes,Laridae,12,3,,Herring Gull,1090.99,
74,148,hudgod,Limosa haemastica,Hudsonian Godwit,Hudsonian Godwit,shorebird,Charadriiformes,Scolopacidae,17,3,,Hudsonian Godwit,253.29,
75,151,killde,Charadrius vociferus,Killdeer,Killdeer,shorebird,Charadriiformes,Charadriidae,10,3,,Killdeer,96.44,
76,154,laugul,Leucophaeus atricilla,Laughing Gull,Laughing Gull,waterbird,Charadriiformes,Laridae,11,3,,NA,307.41,
77,155,lbbgul,Larus fuscus,Lesser Black-backed Gull,Lesser Black-backed Gull,waterbird,Charadriiformes,Laridae,7,3,,Lesser Black-backed Gull,762.36,
78,159,leasan,Calidris minutilla,Least Sandpiper,Least Sandpiper,shorebird,Charadriiformes,Scolopacidae,11,3,,Least Sandpiper,22.88,
79,161,lesyel,Tringa flavipes,Lesser Yellowlegs,Lesser Yellowlegs,shorebird,Charadriiformes,Scolopacidae,13,3,,Lesser Yellowlegs,77.5,
80,165,lobcur,Numenius americanus,Long-billed Curlew,Long-billed Curlew,shorebird,Charadriiformes,Scolopacidae,12,3,,Long-billed Curlew,583.86,
81,166,lobdow,Limnodromus scolopaceus,Long-billed Dowitcher,Long-billed Dowitcher,shorebird,Charadriiformes,Scolopacidae,14,3,,Long-billed Dowitcher,104.4,
82,173,margod,Limosa fedoa,Marbled Godwit,Marbled Godwit,shorebird,Charadriiformes,Scolopacidae,15,3,,Marbled Godwit,357.02,
83,202,pecsan,Calidris melanotos,Pectoral Sandpiper,Pectoral Sandpiper,shorebird,Charadriiformes,Scolopacidae,14,3,,Pectoral Sandpiper,79.73,
84,210,pipplo,Charadrius melodus,Piping Plover,Piping Plover,shorebird,Charadriiformes,Charadriidae,16,3,,Piping Plover,54.39,
85,216,pursan,Calidris maritima,Purple Sandpiper,Purple Sandpiper,shorebird,Charadriiformes,Scolopacidae,12,3,,Purple Sandpiper,65.1,
86,223,redkno,Calidris canutus,Red Knot,Red Knot,shorebird,Charadriiformes,Scolopacidae,13,3,,Red Knot,141.87,
87,231,ribgul,Larus delawarensis,Ring-billed Gull,Ring-billed Gull,waterbird,Charadriiformes,Laridae,8,3,,Ring-billed Gull,516.31,
88,236,rocsan,Calidris ptilocnemis,Rock Sandpiper,Rock Sandpiper,shorebird,Charadriiformes,Scolopacidae,15,3,,Rock Sandpiper,81.32,
89,240,royter1,Thalasseus maximus,Royal Tern,Royal Tern,waterbird,Charadriiformes,Laridae,11,3,,NA,415.31,
90,244,rudtur,Arenaria interpres,Ruddy Turnstone,Ruddy Turnstone,shorebird,Charadriiformes,Scolopacidae,14,3,,Ruddy Turnstone,135.98,
91,247,sabgul,Xema sabini,Sabine's Gull,Sabine's Gull,waterbird,Charadriiformes,Laridae,12,3,,Sabine's Gull,198,
