,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS-max,habitat_score,habitat_comment
19,baleag,Haliaeetus leucocephalus,Bald Eagle,Bald Eagle,landbird,Accipitriformes,Accipitridae,9,3,
54,brwhaw,Buteo platypterus,Broad-winged Hawk,Broad-winged Hawk,landbird,Accipitriformes,Accipitridae,8,1,
92,coohaw,Accipiter cooperii,Cooper's Hawk,Cooper's Hawk,landbird,Accipitriformes,Accipitridae,7,1,
121,goleag,Aquila chrysaetos,Golden Eagle,Golden Eagle,landbird,Accipitriformes,Accipitridae,10,1,Fishing rare
176,miskit,Ictinia mississippiensis,Mississippi Kite,Mississippi Kite,landbird,Accipitriformes,Accipitridae,9,1,
186,norhar2,Circus hudsonius,Northern Harrier,Northern Harrier,landbird,Accipitriformes,Accipitridae,11,1,
198,osprey,Pandion haliaetus,Osprey,Osprey,landbird,Accipitriformes,Pandionidae,7,3,
227,reshaw,Buteo lineatus,Red-shouldered Hawk,Red-shouldered Hawk,landbird,Accipitriformes,Accipitridae,8,1,
228,rethaw,Buteo jamaicensis,Red-tailed Hawk,Red-tailed Hawk,landbird,Accipitriformes,Accipitridae,7,1,
237,rolhaw,Buteo lagopus,Rough-legged Hawk,Rough-legged Hawk,landbird,Accipitriformes,Accipitridae,9,1,
257,shshaw,Accipiter striatus,Sharp-shinned Hawk,Sharp-shinned Hawk,landbird,Accipitriformes,Accipitridae,9,1,
274,swtkit,Elanoides forficatus,Swallow-tailed Kite,Swallow-tailed Kite,landbird,Accipitriformes,Accipitridae,10,1,
3,ambduc,Anas rubripes,American Black Duck,American Black Duck,waterfowl,Anseriformes,Anatidae,12,4,Tolerant of vegetation but possibly high collision risk due to habitat use.
12,amewig,Mareca americana,American Wigeon,American Wigeon,waterfowl,Anseriformes,Anatidae,10,4,
22,bargol,Bucephala islandica,Barrow's Goldeneye,Barrow's Goldeneye,waterfowl,Anseriformes,Anatidae,13,5,"""Prefers open water without emergent or dense submerged vegetation."""
25,bbwduc,Dendrocygna autumnalis,Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,waterfowl,Anseriformes,Anatidae,8,4,
36,blksco2,Melanitta americana,Black Scoter,Black Scoter,waterfowl,Anseriformes,Anatidae,13,5,"""Feeds in open water; usually avoids dense aquatic vegetation which is rare in its breeding areas."""
47,brant,Branta bernicla,Brant,Brant,waterfowl,Anseriformes,Anatidae,13,4,
58,buffle,Bucephala albeola,Bufflehead,Bufflehead,waterfowl,Anseriformes,Anatidae,8,4,
61,buwtea,Spatula discors,Blue-winged Teal,Blue-winged Teal,waterfowl,Anseriformes,Anatidae,8,4,
63,cacgoo1,Branta hutchinsii,Cackling Goose,Cackling Goose,waterfowl,Anseriformes,Anatidae,10,4,
66,cangoo,Branta canadensis,Canada Goose,Canada Goose,waterfowl,Anseriformes,Anatidae,6,4,
67,canvas,Aythya valisineria,Canvasback,Canvasback,waterfowl,Anseriformes,Anatidae,10,4,
79,cintea,Spatula cyanoptera,Cinnamon Teal,Cinnamon Teal,waterfowl,Anseriformes,Anatidae,12,4,
84,comgol,Bucephala clangula,Common Goldeneye,Common Goldeneye,waterfowl,Anseriformes,Anatidae,9,4,
87,commer,Mergus merganser,Common Merganser,Common Merganser,waterfowl,Anseriformes,Anatidae,10,5,
114,fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck,Fulvous Whistling-Duck,waterfowl,Anseriformes,Anatidae,9,4,
115,gadwal,Mareca strepera,Gadwall,Gadwall,waterfowl,Anseriformes,Anatidae,8,4,
119,gnwtea,Anas crecca,Green-winged Teal,Green-winged Teal,waterfowl,Anseriformes,Anatidae,9,4,
128,gresca,Aythya marila,Greater Scaup,Greater Scaup,waterfowl,Anseriformes,Anatidae,10,4,
134,gwfgoo,Anser albifrons,Greater White-fronted Goose,Greater White-fronted Goose,waterfowl,Anseriformes,Anatidae,9,4,
141,hoomer,Lophodytes cucullatus,Hooded Merganser,Hooded Merganser,waterfowl,Anseriformes,Anatidae,8,5,
160,lessca,Aythya affinis,Lesser Scaup,Lesser Scaup,waterfowl,Anseriformes,Anatidae,9,4,
169,lotduc,Clangula hyemalis,Long-tailed Duck,Long-tailed Duck,waterfowl,Anseriformes,Anatidae,13,4,
172,mallar3,Anas platyrhynchos,Mallard,Mallard,waterfowl,Anseriformes,Anatidae,7,4,
177,motduc,Anas fulvigula,Mottled Duck,Mottled Duck,waterfowl,Anseriformes,Anatidae,17,4,
180,mutswa,Cygnus olor,Mute Swan,Mute Swan,waterfowl,Anseriformes,Anatidae,8,4,
189,norpin,Anas acuta,Northern Pintail,Northern Pintail,waterfowl,Anseriformes,Anatidae,13,4,
190,norsho,Spatula clypeata,Northern Shoveler,Northern Shoveler,waterfowl,Anseriformes,Anatidae,7,4,
217,rebmer,Mergus serrator,Red-breasted Merganser,Red-breasted Merganser,waterfowl,Anseriformes,Anatidae,9,5,
222,redhea,Aythya americana,Redhead,Redhead,waterfowl,Anseriformes,Anatidae,8,4,
232,rinduc,Aythya collaris,Ring-necked Duck,Ring-necked Duck,waterfowl,Anseriformes,Anatidae,8,4,
238,rosgoo,Anser rossii,Ross's Goose,Ross's Goose,waterfowl,Anseriformes,Anatidae,12,4,
243,rudduc,Oxyura jamaicensis,Ruddy Duck,Ruddy Duck,waterfowl,Anseriformes,Anatidae,8,5,Needs space to take off
260,snogoo,Anser caerulescens,Snow Goose,Snow Goose,waterfowl,Anseriformes,Anatidae,10,4,
270,sursco,Melanitta perspicillata,Surf Scoter,Surf Scoter,waterfowl,Anseriformes,Anatidae,11,4,
278,truswa,Cygnus buccinator,Trumpeter Swan,Trumpeter Swan,waterfowl,Anseriformes,Anatidae,11,4,
280,tunswa,Cygnus columbianus,Tundra Swan,Tundra Swan,waterfowl,Anseriformes,Anatidae,11,4,
298,whwsco2,Melanitta deglandi,White-winged Scoter,White-winged Scoter,waterfowl,Anseriformes,Anatidae,12,4,
307,wooduc,Aix sponsa,Wood Duck,Wood Duck,waterfowl,Anseriformes,Anatidae,7,4,
76,chiswi,Chaetura pelagica,Chimney Swift,Chimney Swift,landbird,Apodiformes,Apodidae,13,1,
241,rthhum,Archilochus colubris,Ruby-throated Hummingbird,Ruby-throated Hummingbird,landbird,Apodiformes,Trochilidae,8,1,
78,chwwid,Antrostomus carolinensis,Chuck-will's-widow,Chuck-will's-widow,landbird,Caprimulgiformes,Caprimulgidae,12,1,
88,comnig,Chordeiles minor,Common Nighthawk,Common Nighthawk,landbird,Caprimulgiformes,Caprimulgidae,11,1,
104,easwpw1,Antrostomus vociferus,Eastern Whip-poor-will,Eastern Whip-poor-will,landbird,Caprimulgiformes,Caprimulgidae,14,1,
38,blkvul,Coragyps atratus,Black Vulture,Black Vulture,landbird,Cathartiformes,Cathartidae,5,1,
281,turvul,Cathartes aura,Turkey Vulture,Turkey Vulture,landbird,Cathartiformes,Cathartidae,6,1,
4,ameavo,Recurvirostra americana,American Avocet,American Avocet,shorebird,Charadriiformes,Recurvirostridae,11,3,
13,amgplo,Pluvialis dominica,American Golden-Plover,American Golden-Plover,shorebird,Charadriiformes,Charadriidae,15,3,
18,baisan,Calidris bairdii,Baird's Sandpiper,Baird's Sandpiper,shorebird,Charadriiformes,Scolopacidae,13,3,
31,bkbplo,Pluvialis squatarola,Black-bellied Plover,Black-bellied Plover,shorebird,Charadriiformes,Charadriidae,13,3,
37,blkter,Chlidonias niger,Black Tern,Black Tern,waterbird,Charadriiformes,Laridae,12,3,
45,bongul,Chroicocephalus philadelphia,Bonaparte's Gull,Bonaparte's Gull,waterbird,Charadriiformes,Laridae,10,3,
57,bubsan,Calidris subruficollis,Buff-breasted Sandpiper,Buff-breasted Sandpiper,shorebird,Charadriiformes,Scolopacidae,15,3,
64,calgul,Larus californicus,California Gull,California Gull,waterbird,Charadriiformes,Laridae,12,3,
71,caster1,Hydroprogne caspia,Caspian Tern,Caspian Tern,waterbird,Charadriiformes,Laridae,9,3,
97,dunlin,Calidris alpina,Dunlin,Dunlin,shorebird,Charadriiformes,Scolopacidae,12,3,
111,forter,Sterna forsteri,Forster's Tern,Forster's Tern,waterbird,Charadriiformes,Laridae,13,3,
