common_name,scientific_name,include
American Avocet,Recurvirostra americana,1
American Bittern,Botaurus lentiginosus,1
American Black Duck,Anas rubripes,1
American Coot,Fulica americana,1
American Dipper,Cinclus mexicanus,0
American Golden-Plover,Pluvialis dominica,1
American Oystercatcher,Haematopus palliatus,0
American White Pelican,Pelecanus erythrorhynchos,1
American Wigeon,Mareca americana,1
American Woodcock,Scolopax minor,0
Anhinga,Anhinga anhinga,1
Arctic Loon,,0
Arctic Tern,Sterna paradisaea,0
Baird's Sandpiper,Calidris bairdii,1
Barrow's Goldeneye,Bucephala islandica,1
Belted Kingfisher,Megaceryle alcyon,1
Black Oystercatcher,Haematopus bachmani,0
Black Scoter,Melanitta americana,1
Black Skimmer,Rynchops niger,0
Black Tern,Chlidonias niger,1
Black Turnstone,Arenaria melanocephala,0
Black-bellied Plover,Pluvialis squatarola,0
Black-bellied Whistling-Duck,,1
Black-crowned Night Heron,Nycticorax nycticorax,1
Blue-winged Teal,Spatula discors,1
Bonaparte's Gull,Chroicocephalus philadelphia,1
Brant,Branta bernicla,1
Brown Pelican,Pelecanus occidentalis,1
Buff-breasted Sandpiper,Calidris subruficollis,1
Bufflehead,Bucephala albeola,1
Cackling Goose,Branta hutchinsii,1
California Gull,Larus californicus,1
Canada Goose,Branta canadensis,1
Canvasback,Aythya valisineria,1
Caspian Tern,Hydroprogne caspia,1
Western/Eastern Cattle Egret,Bubulcus ibis,1
Cinnamon Teal,Spatula cyanoptera,1
Clapper Rail,Rallus crepitans,0
Clark's Grebe,Aechmophorus clarkii,1
Common Eider,Somateria mollissima,0
Common Gallinule,Gallinula galeata,1
Common Goldeneye,Bucephala clangula,1
Common Loon,Gavia immer,0
Common Merganser,Mergus merganser,0
Common Moorhen,,0
Common Ringed Plover,Charadrius hiaticula,0
Common Tern,Sterna hirundo,0
Common Yellowthroat,Geothlypis trichas,1
Double-crested Cormorant,Nannopterum auritum,1
Dunlin,Calidris alpina,1
Eared Grebe,Podiceps nigricollis,0
Eskimo Curlew,Numenius borealis,0
Eurasian Wigeon,Mareca penelope,1
Forster's Tern,Sterna forsteri,0
Franklin's Gull,Leucophaeus pipixcan,1
Fulvous Whistling-Duck,Dendrocygna bicolor,1
Gadwall,Mareca strepera,1
Glaucous Gull,Larus hyperboreus,1
Glaucous-winged Gull,Larus glaucescens,0
Glossy Ibis,Plegadis falcinellus,1
Great Black-backed Gull,Larus marinus,0
Great Blue Heron,Ardea herodias,1
Great Cormorant,Phalacrocorax carbo,1
Great Egret,Ardea alba,1
Greater Scaup,Aythya marila,0
Greater White-fronted Goose,Anser albifrons,1
Greater Yellowlegs,Tringa melanoleuca,1
Green Heron,Butorides virescens,1
Green-winged Teal,Anas crecca,1
Gull-billed Tern,Gelochelidon nilotica,0
Harlequin Duck,Histrionicus histrionicus,0
Heermann's Gull,Larus heermanni,0
Herring Gull,Larus argentatus,1
Hooded Merganser,Lophodytes cucullatus,0
Horned Grebe,Podiceps auritus,1
