"","scientific_name","common_name","group","order","family","bodymass_g","defication_rate_estimated","wingloading_quantile","axial_length_estimated","axial_length_quantile","VA_risk","CCS_raw","CCS_quantile","habitat_score","habitat_comment","VI"
"1","Empidonax virescens","Acadian Flycatcher","landbird","Passeriformes","Tyrannidae",12.6,0.848038299,1,7.769267084,2,4,10,3,1,"",7.5
"2","Empidonax alnorum","Alder Flycatcher","landbird","Passeriformes","Tyrannidae",12.7,0.85357696,1,6.148575017,1,5,8,2,1,"",6
"3","Aix sponsa","Wood Duck","waterfowl","Anseriformes","Anatidae",657.59,22.02140488,5,15.51365241,5,1,7,1,4,"",12
"4","Recurvirostra americana","American Avocet","shorebird","Charadriiformes","Recurvirostridae",304.48,11.68072599,3.5,9.210968905,3,3,11,4,5,"",65
"5","Anas acuta","Northern Pintail","waterfowl","Anseriformes","Anatidae",944.62,29.67447453,5,11.92746774,4,2,13,5,5,"completely absent in FPV (Song et al. 2024)",87.5
"6","Corvus brachyrhynchos","American Crow","landbird","Passeriformes","Corvidae",448.76,16.07654403,4,9.19032702,3,3,8,1,1,"",3.5
"7","Spinus tristis","American Goldfinch","landbird","Passeriformes","Fringillidae",12.79,0.858555175,2,8.314409294,3,3,8,1,1,"",2.5
"8","Falco sparverius","American Kestrel","landbird","Falconiformes","Falconidae",114.61,5.224314045,3,12.770207,4,2,10,3,1,"",7.5
"9","Anthus rubescens","American Pipit","landbird","Passeriformes","Motacillidae",20.68,1.275310722,1.888888889,9.178026175,3,3,9,3,2,"hang out on shorelines but not as important for habitat as for other species.",14.666666667
"10","Setophaga ruticilla","American Redstart","landbird","Passeriformes","Parulidae",8.24,0.597759563,1,8.715143345,3,3,9,2,1,"",4
"11","Turdus migratorius","American Robin","landbird","Passeriformes","Turdidae",78.5,3.82547029,3,10.6874045,3,3,7,1,1,"",3
"12","Anas crecca","Green-winged Teal","waterfowl","Anseriformes","Anatidae",341.89,12.85033934,5,13.00470334,4,2,9,2,4,"",28
"13","Pluvialis dominica","American Golden-Plover","shorebird","Charadriiformes","Charadriidae",151.47,6.572921009,3.222222222,8.764249745,3,3,15,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",77.777777775
"14","Spizelloides arborea","American Tree Sparrow","landbird","Passeriformes","Passerellidae",17.83,1.128712487,2,14.98974157,5,1,12,4,1,"",6
"15","Anas platyrhynchos","Mallard","waterfowl","Anseriformes","Anatidae",843.42,27.0306179,5,12.79780377,4,2,7,1,1,"Increased 1.88x (Song et al. 2024)",3.5
"16","Setophaga castanea","Bay-breasted Warbler","landbird","Passeriformes","Parulidae",11.8,0.803443199,1.470588235,7.642024308,2,4,10,3,1,"",8.2058823525
"17","Calidris bairdii","Baird's Sandpiper","shorebird","Charadriiformes","Scolopacidae",40.97,2.239368804,3.535714286,5.308150395,1,5,13,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",106.696428575
"18","Haliaeetus leucocephalus","Bald Eagle","landbird","Accipitriformes","Accipitridae",4700.58,111.2435736,3.6,9.350928191,3,3,9,3,3,"",29.7
"19","Icterus galbula","Baltimore Oriole","landbird","Passeriformes","Icteridae",32.83,1.865988889,3,6.285223499,1,5,11,4,1,"",16
"20","Riparia riparia","Bank Swallow","landbird","Passeriformes","Hirundinidae",12.68,0.852469845,1,9.237974843,3,3,11,4,2,"""Presently breeds primarily in lowland areas along ocean coasts, rivers, streams, lakes, reservoirs, and wetlands (Cramp 1988, Turner and Rose 1989a, Am. Ornithol. Union American Ornithologists' Union 1998a). """,16
"21","Anas rubripes","American Black Duck","waterfowl","Anseriformes","Anatidae",1240.96,37.15080448,5,22.00681137,5,1,12,4,1,"Tolerant of vegetation, similar to mallard which increased in Song et al. 2024.",12
"22","Hirundo rustica","Barn Swallow","landbird","Passeriformes","Hirundinidae",17.91,1.13288131,1,14.15911666,5,1,9,2,2,"",4
"23","Mniotilta varia","Black-and-white Warbler","landbird","Passeriformes","Parulidae",10.9,0.752629254,1,10.56938024,3,3,9,2,1,"",4
"24","Anser caerulescens","Snow Goose","waterfowl","Anseriformes","Anatidae",2636.15,69.09192814,5,8.133619072,2,4,10,3,4,"",54
"25","Megaceryle alcyon","Belted Kingfisher","landbird","Coraciiformes","Alcedinidae",148,6.448667249,3,8.212581792,2,4,10,3,3,"",31.5
"26","Catharus bicknelli","Bicknell's Thrush","landbird","Passeriformes","Turdidae",27.79,1.626680494,2.642857143,6.141142038,1,5,17,5,1,"",19.1071428575
"27","Coccyzus erythropthalmus","Black-billed Cuckoo","landbird","Cuculiformes","Cuculidae",50.9,2.677576693,2,6.102075697,1,5,12,4,1,"",14
"28","Pluvialis squatarola","Black-bellied Plover","shorebird","Charadriiformes","Charadriidae",250,9.930311132,4,12.01517312,4,2,13,5,5,"Shorebirds strongly negatively affected in Song et al. 2024",75
"29","Setophaga fusca","Blackburnian Warbler","landbird","Passeriformes","Parulidae",9.74,0.686023061,1.470588235,6.304667346,1,5,10,3,1,"",9.7058823525
