"","X","species_code","scientific_name","common_name.x","group","order","family","CCS.max","habitat_score","habitat_comment","bodymass","predicted_defecation_rate","est_axial_length","wingloading_quantile","axiallength_quantile","CCS_quantile","vis_acuity_risk","exposure","exposure_scaled","VI"
"1",1,"brwhaw","Buteo platypterus","Broad-winged Hawk","landbird","Accipitriformes","Accipitridae",8,1,"",453.65,16.2206674347041,33.4537712794164,4,5,1,1,5094.83342550698,1.59741704773436,25.9741704773436
"2",2,"coohaw","Accipiter cooperii","Cooper's Hawk","landbird","Accipitriformes","Accipitridae",7,1,"",429.67,15.5112131074165,18.1351242264106,4,5,1,1,4156.00867949801,1.48733103289182,21.7641465378034
"3",3,"goleag","Aquila chrysaetos","Golden Eagle","landbird","Accipitriformes","Accipitridae",10,1,"Fishing rare",4247.97,102.344772952969,17.8790228778656,5,5,3,1,55.6020742563638,1.00651986518025,30.0977979777038
"4",4,"norhar2","Circus hudsonius","Northern Harrier","landbird","Accipitriformes","Accipitridae",11,1,"",392.98,14.411963775594,32.5784232997073,3,5,4,1,520.84036344727,1.06107342208948,22.6718076429842
"5",5,"osprey","Pandion haliaetus","Osprey","landbird","Accipitriformes","Pandionidae",7,3,"",1483.2,43.0270520196512,15.9226492558413,4,5,1,1,5308.46571614374,1.62246743932007,40.4465900940506
"6",6,"reshaw","Buteo lineatus","Red-shouldered Hawk","landbird","Accipitriformes","Accipitridae",8,1,"",603.72,20.5247100802972,17.4659403861397,4,5,1,1,2433.00624434888,1.28529282239949,22.8529282239949
"7",7,"rethaw","Buteo jamaicensis","Red-tailed Hawk","landbird","Accipitriformes","Accipitridae",7,1,"",1101.16,33.6684061535229,24.731705571669,4,5,1,1,1018.09342183409,1.11938101123088,18.5445838482702
"8",8,"rolhaw","Buteo lagopus","Rough-legged Hawk","landbird","Accipitriformes","Accipitridae",9,1,"",949.76,29.8073803624767,19.5444799508693,3,5,2,1,117.329027668954,1.01375792993989,18.123821369459
"9",9,"shshaw","Accipiter striatus","Sharp-shinned Hawk","landbird","Accipitriformes","Accipitridae",9,1,"",130.59,5.81716403703013,22.8759751975911,2,5,2,1,3781.05654904478,1.44336437567087,16.4927095357784
"10",10,"ambduc","Anas rubripes","American Black Duck","waterfowl","Anseriformes","Anatidae",12,4,"Tolerant of vegetation but possibly high collision risk due to habitat use.",1240.96,37.1508044838062,22.0068113707697,5,5,4,1,16085.6898947926,2.88619814724583,123.951566650425
"11",11,"brant","Branta bernicla","Brant","waterfowl","Anseriformes","Anatidae",13,4,"",1277.91,38.0593747294842,13.0885348696826,5,4,5,2,14988.6883314224,2.75756441565659,153.734590456187
