species_code,scientific_name,common_name.x,group,order,family,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,exposure,exposure_scaled,VI,exposure_scaled_2,risk,reduction_factor,abs_target
acafly,Empidonax virescens,Acadian Flycatcher,landbird,Passeriformes,Tyrannidae,10,1,,12.6,0.848038299,7.769267084,1,2,3,4,2230.494757,1.261546449,7.5,0.065386612,0.490399593,0.861133603,2529.045186
aldfly,Empidonax alnorum,Alder Flycatcher,landbird,Passeriformes,Tyrannidae,8,1,,12.7,0.85357696,6.148575017,1,1,2,5,3845.160156,1.450881125,6,0.112720281,0.676321688,0.870850202,3468.21714
ambduc,Anas rubripes,American Black Duck,waterfowl,Anseriformes,Anatidae,12,1,"Tolerant of vegetation, similar to mallard which increased in Song et al. 2024.",1240.96,37.15080448,22.00681137,5,5,4,1,16085.68989,2.886198147,48,0.471549537,22.63437777,0.598785425,10282.85964
ameavo,Recurvirostra americana,American Avocet,shorebird,Charadriiformes,Recurvirostridae,11,5,,304.48,11.68072599,9.210968905,3.5,3,4,3,47.11751096,1.00552497,39,0.001381243,0.053868462,0.65708502,30.64871908
amebit,Botaurus lentiginosus,American Bittern,waterbird,Pelecaniformes,Ardeidae,12,3,,706,23.34799332,8.125513734,4,2,4,4,3955.274212,1.463793032,48,0.115948258,5.565516386,0.598785425,4911.951132
amecro,Corvus brachyrhynchos,American Crow,landbird,Passeriformes,Corvidae,8,1,,448.76,16.07654403,9.19032702,4,3,1,3,4208.666327,1.493505636,3.5,0.123376409,0.431817432,0.887044534,3129.569505
amegfi,Spinus tristis,American Goldfinch,landbird,Passeriformes,Fringillidae,8,1,,12.79,0.858555175,8.314409294,2,3,1,3,3358.899363,1.393862483,2.5,0.098465621,0.246164052,0.893522267,3163.447742
amekes,Falco sparverius,American Kestrel,landbird,Falconiformes,Falconidae,10,1,,114.61,5.224314045,12.770207,3,4,3,2,434.038788,1.050895123,7.5,0.012723781,0.095428355,0.861133603,341.8553028
amepip,Anthus rubescens,American Pipit,landbird,Passeriformes,Motacillidae,9,2,"Tricky one, hang out on shorelines but not as important for habitat as for other species.",20.68,1.275310722,9.178026175,1.888888889,3,3,3,2366.375101,1.277479695,14.66666667,0.069369924,1.01742555,0.814709852,1660.7504
amered,Setophaga ruticilla,American Redstart,landbird,Passeriformes,Parulidae,9,1,,8.24,0.597759563,8.715143345,1,3,2,3,3928.256665,1.460624971,4,0.115156243,0.460624971,0.883805668,3838.463148
